# VMD Weapon BASE Attributes — regenerated from constructors (2026-05-13),,,,,,,,,,,,,,,,,,,,,,,,
# Formula: Sword ATK = segmented exponential (Lv1=15,Lv50=100,Lv100=280,Lv200=1100,Lv300=3200),,,,,,,,,,,,,,,,,,,,
#   Sceptre manaDamage = Sword ATK * 2.2; Bow ATK = Sword ATK * 0.95,,,,,,,,,,,,,,,,,,,,,,,,
# Effective attribute = baseValue * tierMultiplier(0.8~3.0) + forgingValue(piecewise linear),,,,,,,,,,,,,,,,,,,,,,,,
# Columns: type,className,registryName,chineseName,tiers,attackDamage,critRate,critDamage,manaDamage,manaRecover,coolDown,defencePen,defencePen0,healthSteal,manaHealthSteal,manaPen,manaPen0,maxHealth,movementSpeed,elementType,elementValue,levelRequire,numericalLevel,notes,
type,className,registryName,chineseName,tiers,attackDamage,critRate,critDamage,manaDamage,manaRecover,coolDown,defencePen,defencePen0,healthSteal,manaHealthSteal,manaPen,manaPen0,maxHealth,movementSpeed,elementType,elementValue,levelRequire,numericalLevel,notes,
SCEPTRE,NetherSceptre,nether_sceptre,下界混沌解构魔杖,3,,,,"480,480,6000","14,14,40","0.35,0.35,0.3",,,,,,"24,24,60",,,fire,"1,1,1.5","80,80,225",88,"Tier0无暴击,Tier1暴击率0.25,Tier2(Lv225)暴击率0.4+暴击伤害0.1",
SCEPTRE,MagmaSceptre,magma_sceptre_N,爆裂魔杖,4,,,,"160,200,240,280",12,,,,,,,"4,5,5,6",,,fire,"0.2,0.4,0.6,0.8",80,42,manaCost:150,
# ===== INSTANCE - ICE (Lv 135) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,IceSword,ice_sword,蔚境冰锥,2,700,0.3,,,,0.1,,21,0.3,,,,2500,,ice,1.25,135,167,,
BOW,IceBow,ice_bow,凛冬雄鹰,2,700,0.25,,,,,,21,,,,,,,ice,1.25,135,171,,
SCEPTRE,IceSceptre,ice_sceptre,天源流光,2,,,,1400,18,0.25,,,,,,21,,,ice,1.25,135,160,,
# ===== INSTANCE - MOON (Lv 160) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,MoonSword,moon_sword,星蚀,2,1200,0.3,,,,0.15,,29,0.3,,,,8000,,,,,160,208,
BOW,MoonBow,moon_bow,尘风,2,1200,0.25,,,,,,29,,,,,,,,,160,213,,
SCEPTRE,MoonSceptre,moon_sceptre,穹玉,2,,,,2400,22,0.3,,,,,,29,,,,,160,199,,
# ===== INSTANCE - CASTLE (Lv 180) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,CastleSword,castle_sword,暗黑烬刃,2,1500,0.3,,,,0.22,,36,0.08,,,,8000,,,,,180,229,
BOW,CastleBow,castle_bow,暗黑烈弓,2,1500,0.25,,,,,,36,,,,,,,,,180,234,,
SCEPTRE,CastleSceptre,castle_sceptre,暗黑圣杖,2,,,,3000,24,0.35,,,,,,36,,,,,180,220,,
# ===== INSTANCE - HARBINGER (Lv 225) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,HarbingerSword,harbinger_sword,鹰眼长剑,1,2500,0.35,0.05,,,0.28,,50,0.08,,,,10000,,,fire,1.6,225,277,
BOW,HarbingerBow,harbinger_bow,鹰眼长弓,1,2500,0.3,0.05,,,,,50,,,,,,,fire,1.6,225,282,,
SCEPTRE,HarbingerSceptre,harbinger_sceptre,鹰眼手镜,1,,,,5000,30,0.25,,,,,,50,,,fire,1.6,225,268,,
# ===== DIVINE (Lv 230-250) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,DivineSword,divine_sword_N,圣光长剑,3,"3000,3500,4000",0.35,,,,0.33,,"60,70,80",0.08,,,,14000,,,,,"230,240,250",294,
BOW,DivineBow,divine_bow_N,圣光长弓,3,"3000,3500,4000",0.35,,,,,,"60,70,80",0.08,,,,,,,,,"230,240,250",299,
SCEPTRE,DivineSceptre,divine_sceptre_N,圣光权杖,3,,,,"6000,7000,8000",35,"0.3,0.35,0.4",,,,,,"70,80,90",,,,,"230,240,250",285,,
SWORD,DivineKnife,divine_knife,班尼之牙,1,,,,,,,,,0.25,,,,,,,,,0,"elementStrength:0.25,纯吸血刀",
# ===== SILVER DRAGON BLOOD (xpLevel scaling,3 tiers) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SilverDragonBloodSword,silver_dragon_blood_sword_N,银龙血牙,3,"xpLevel:10,12,15","0.35,0.4,0.45","0.05,0.15,0.25",,,,,"0.3,0.35,0.4",0.08,,,"xpLevel:0.3,0.35,0.4",,,,,"0.2,0.25,0.3",,193,xpLevelAttackDamage
BOW,SilverDragonBloodBow,silver_dragon_blood_bow_N,银龙血爪,3,"xpLevel:10,12,15","0.35,0.4,0.45","0.05,0.15,0.25",,,,,"0.3,0.35,0.4",0.08,,,"xpLevel:0.3,0.35,0.4",,,,,"0.2,0.25,0.3",,197,xpLevelAttackDamage
SCEPTRE,SilverDragonBloodSceptre,silver_dragon_blood_sceptre_N,银龙血脊,3,,,,"xpLevel:20,24,30","40,60,80","0.3,0.4,0.5",,,,0.08,"0.3,0.35,0.4","xpLevel:0.3,0.35,0.4",,,,,"0.2,0.25,0.3",,186,xpLevelManaDamage
# ===== MOONTAIN (Lv 210) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,MoontainSword,moontain_sword,望山刀,1,1800,0.3,,,,0.24,,40,0.08,,,,9000,,,,,210,246,
BOW,MoontainBow,moontain_bow,望山弓,1,1800,0.25,,,,,,40,,,,,,,,,210,251,,
SCEPTRE,MoontainSceptre,moontain_sceptre,望山杖,1,,,,5400,25,0.3,,,,,,60,,,,,210,275,,
# ===== VD CHAPTER 7 (Lv 220) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,VdSword,vd_sword,全熵利刃,1,1800,0.3,,,,0.2,,40,0.08,,,,8000,,,,,220,246,
BOW,VdBow,vd_bow,全熵长弓,1,1800,0.25,,,,,,40,,,,,,,,,220,251,,
SCEPTRE,VdSceptre,vd_sceptre,全熵法杖,1,,,,3600,25,0.35,,,,,,40,,,,,220,237,,
# ===== SUPER COLD DRAGON (Lv 225) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SuperColdDragonSword,super_cold_dragon_sword_N,极寒龙牙,3,"3000,3500,4500",0.35,"0.1,0.15,0.25",,,0.28,,"60,75,90",0.08,,,,"10000,12000,15000",,,ice,"2.5,3.5,5",225,294,
BOW,SuperColdDragonBow,super_cold_dragon_bow_N,极寒龙爪,3,"3000,3500,4500",0.3,"0.2,0.3,0.45",,,,,"60,75,90",,,,,,,,ice,"2.5,3.5,5",225,299,
SCEPTRE,SuperColdDragonSceptre,super_cold_dragon_sceptre_N,极寒龙脊,3,,,,"6000,7000,9000",50,0.3,,,,,,"60,75,90",,,ice,"2.5,3.5,5",225,285,,
# ===== ELEMENT WEAPONS (6元素各1组,同规格) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,WaterElementSword,water_element_sword,若水之剑,1,600,0.3,,,,,,40,0.08,,,,,,water,2.0,,156,,
BOW,WaterElementBow,water_element_bow,若水长弓,1,600,0.25,,,,,,40,,,,,,,water,2.0,,159,,
SCEPTRE,WaterElementSceptre,water_element_sceptre,若水之杖,1,,,,1774,30,0.2,,,,,,40,,,water,2.0,,177,,
SWORD,LifeElementSword,life_element_sword,盎然之剑,1,600,0.3,,,,,,40,0.08,,,,,,life,2.0,,156,,
BOW,LifeElementBow,life_element_bow,盎然长弓,1,600,0.25,,,,,,40,,,,,,,life,2.0,,159,,
SCEPTRE,LifeElementSceptre,life_element_sceptre,盎然之杖,1,,,,1774,30,0.2,,,,,,40,,,life,2.0,,177,,
SWORD,FireElementSword,fire_element_sword,焰烬之剑,1,600,0.3,,,,,,40,0.08,,,,,,fire,2.0,,156,,
BOW,FireElementBow,fire_element_bow,焰烬长弓,1,600,0.25,,,,,,40,,,,,,,fire,2.0,,159,,
SCEPTRE,FireElementSceptre,fire_element_sceptre,焰烬之杖,1,,,,1774,30,0.2,,,,,,40,,,fire,2.0,,177,,
# ===== WIND / SPECIAL =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,WindSword,wind_sword_N,灵风,5,"700,800,900,1200,1500",0.3,,,,,,"20,22,24,28,35",0.08,,,,,,,wind,"0.8,1,1.2,1.6,2",180,167,"moveSpeedWithoutBattle:0.8,0.8,0.8,1.0,1.2"
BOW,ShiroBow,shiro_bow,白羽弓,1,3000,0.3,0.05,,,,0.25,50,,,,,,,wind,1.5,225,299,movementSpeedCommon:0.2,
SWORD,KanupusSword,kanupus_sword,卡纽帕斯之刃,1,3000,0.35,0.05,6000,20,,0.25,50,0.08,0.08,0.25,50,,,,,225,294,双修剑(物+法均衡),
# ===== 渐进武器 (SilverDragonAssassin/INaRi/DeepSea,5 tiers xpLevel) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SilverDragonAssassinPickaxe,silver_dragon_assassin_pickaxe,银龙刺客之击,5,"120,240,1200,2400,3600",0.35,"0.02,0.05,0.08,0.12,0.2",,,,,"6,18,29,36,80",0.08,,,,,,,,,"50,100,150,200,250",93,xpLevel scaling capability
BOW,INaRiBow,inari_bow,稻荷神,5,"120,240,1200,2400,3600",0.35,"0.02,0.05,0.08,0.12,0.2",,,,,"6,18,29,36,80",,,,,,,,,,"50,100,150,200,250",95,xpLevel scaling capability
SCEPTRE,DeepSeaLegendary,deep_sea_legendary,深海神话,5,,,,"240,480,2400,4800,7200","10,15,20,25,30","0.1,0.15,0.2,0.25,0.3",,,,,,"6,18,29,36,80",,,,,"50,100,150,200,250",88,xpLevel scaling capability,
# ===== SOUL (Lv 260) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SoulSword,soulsword,隙石尖刃,1,512,0.4,0.55,,,,,12,0.04,,,,,,,,260,144,,
BOW,SoulBow,soulbow,隙石锻弓,1,512,0.2,1.05,,,,,12,,,,,,,,,260,148,,
SCEPTRE,SoulSceptre,soulsceptre,隙石权杖,1,,,,1280,15,,,,,,,12,,,,,260,153,,
# ===== SAKURA / SHIP (Lv 132-140) =====,,,,,,,,,,,,,,,,,,,,,,,,
SWORD,SakuraSword,sakura_sword,妖刀-樱,1,240,0.3,,,,,,18,0.08,,,,,,life,1.25,132,93,,
BOW,SakuraBow,sakura_bow,妖弓-樱,1,400,0.25,,,,,,18,,,,,,,life,1.0,132,130,,
SWORD,ShipSword,ship_sword,船厂遗锚,1,450,0.3,,,,,,22,0.08,,,,,,water,1.0,140,135,,
BOW,ShipBow,ship_bow,普朗克之弓,1,450,0.25,,,,,,22,,,,,,,water,1.0,140,138,,
SCEPTRE,ShipSceptre,ship_sceptre,唤潮之杖,1,,,,900,20,0.2,,,,,,22,,,water,1.0,140,128,,
# ===== BUNKER (Lv 225,extends Harbinger) =====,,,,,,,,,,,,,,,,,,,,,,,
SWORD,BunkerSword,bunker_sword,热能利刃,1,2800,0.35,0.05,,,0.3,,60,0.08,,,,12000,,,fire,2.0,225,287,"继承HarbingerSword,覆盖ATK/defPen0/fireValue"
BOW,BunkerBow,bunker_bow,热能长弓,1,2800,0.3,0.05,,,,,60,,,,,,,fire,2.0,225,292,"继承HarbingerBow,覆盖ATK/defPen0/fireValue",
SCEPTRE,BunkerSceptre,bunker_sceptre,热能法杖,1,,,,5600,30,0.25,,,,,,60,,,fire,2.0,225,279,"继承HarbingerSceptre,覆盖manaDamage/manaPen0/fireValue",
# ===== KANATA (行军刀,movementSpeedOnly) =====,,,,,,,,,,,,,,,,,,,,,,,
KANATA,WraqKanata,bamboo_kanata,竹刀,1,,,,,,,,,,,,,,,0.15,,,,0,"行军刀,movementSpeedWithoutBattle:0.15,suffix:ChapterI"
KANATA,WraqKanata,sky_kanata,天空刀,1,,,,,,,,,,,,,,,0.3,,,,0,"行军刀,movementSpeedWithoutBattle:0.3,suffix:ChapterII"
KANATA,WraqKanata,nether_kanata,下界刀,1,,,,,,,,,,,,,,,0.45,,,,0,"行军刀,movementSpeedWithoutBattle:0.45,suffix:Nether"
KANATA,WraqKanata,sakura_kanata,樱刀,1,,,,,,,,,,,,,,,0.6,,,,0,"行军刀,movementSpeedWithoutBattle:0.6,suffix:Sakura"
# ===== INSTRUMENT (仪器) =====,,,,,,,,,,,,,,,,,,,,,,,,
INSTRUMENT,SakuraIndustrySceptre,sakura_industry_sceptre,樱工业仪器,1,,,,,,,,,,,,,,,,,,0,"仪器,expUp:1",
,,,,,,,,,,,,,,,,,,,,,,,,
