# VMD Mob Attributes — aligned to balance_framework.md v2 (2026-05-11)
# Formula: mobHP = weaponBaseATK * 76; mobDEF = 2 + 0.4 * level
#   Boss: HP×15, ATK/HP hand-tuned per instance; DEF kept as-designed
# Columns: type,className,mobName,chapter,averageLevel,attackDamage,defence,manaDefence,critRate,critDamage,defencePenetration,defencePenetration0,healthSteal,maxHealth,movementSpeed,playerScaling
type,className,mobName,chapter,averageLevel,attackDamage,defence,manaDefence,critRate,critDamage,defencePenetration,defencePenetration0,healthSteal,maxHealth,movementSpeed,playerScaling
NORMAL,TreeSpawnController,古树魔能研究者,chapter6_castle,180,2000,74,74,0.4,3,0.25,55,20,63572,0.35,
NORMAL,BlazeSpawnController,熔岩湖溢出物,chapter6_castle,180,2000,74,74,0.4,3,0.25,55,20,63572,0.35,
NORMAL,BeaconSpawnController,烽火台哨卫,chapter6_castle,180,2000,74,74,0.4,3,0.25,55,20,63572,0.35,
NORMAL,BoneImpSpawnController,炽鬼,chapter7,210,2800,86,86,0.4,3,0.3,70,20,93023,0.4,
NORMAL,MushroomLinSpawnController,菌菇灵,chapter7,225,3000,92,92,0.4,3,0.3,75,25,109185,0.4,
NORMAL,StarRabbitSpawnController,小玉兔,chapter7,200,0,82,82,0,0,0,0,0,83577,0.35,
NORMAL,StarVexSpawnController,梦灵,chapter7,200,2500,82,82,0.4,3,0.3,70,20,83577,0.35,
NORMAL,TorturedSoulSpawnController,被折磨的灵魂,chapter7,220,3200,90,90,0.4,3,0.3,70,25,103507,0.4,
NORMAL,Ore3SpawnController,被遗忘的粉钻矿工,chapter7,168,800,69,69,0.4,3,0.15,30,20,53947,0.25,
NORMAL,MoontainCommon1SpawnController,望山孤魂,moontain,160,1600,66,66,0.4,3,0.3,45,20,48355,0.35,
NORMAL,MoontainCommon1ExSpawnController,望山孤魂E,moontain,170,1800,70,70,0.4,3,0.3,55,20,55444,0.35,
NORMAL,MoontainCommon2SpawnController,望山魂驹,moontain,170,2000,70,70,0.4,3,0.3,55,20,55444,0.4,
NORMAL,MoontainCommon2ExSpawnController,望山魂驹E,moontain,180,2200,74,74,0.4,3,0.3,60,20,63572,0.4,
NORMAL,MoontainCommon3SpawnController,望山阁灵,moontain,190,2400,78,78,0.4,3,0.3,65,20,72891,0.45,
NORMAL,MoontainCommon3ExSpawnController,望山阁灵E,moontain,200,2600,82,82,0.4,3,0.3,70,20,83577,0.45,
NORMAL,MoontainMinerSpawnController,望山矿工,moontain,230,3500,94,94,0.4,3,0.3,80,25,115174,0.4,
NORMAL,MoontainChickenSpawnController,望山翎凤,moontain,210,0,86,86,0.4,3,0.3,65,25,93023,0.1,
NORMAL,BunkerGhastSpawnController,熔魂,jungle,270,7500,110,110,0.4,3,0.6,500,25,176557,0.6,
BOSS,PlainInstance,普莱尼,chapter1,,400,40,40,0.2,1,0,0,0,10000,0.2,10000*(1+0.75*(max(1,players)-1))
BOSS,IceInstance,冰霜骑士,chapter2,,1250,90,90,0.35,3,0.2,30,0,400000,0.35,400000*(1+0.75*(max(1,players)-1))
BOSS,NetherInstance,燃魂,chapter3_nether,,400,55,55,0.35,3,0.2,20,0,125000,0.3,125000*(1+0.75*(max(1,players)-1))
BOSS,CitadelGuardianInstance,影珀守卫,chapter4_end,,5000,480,480,0.4,3,0.6,225,25,15000000,0.35,15000000*(1+0.75*(max(1,players)-1))
BOSS,SakuraBossInstance,突见忍,chapter5,,1500,110,110,0.4,3,0.25,50,0,1000000,0.35,1000000*(1+0.75*(max(1,players)-1))
BOSS,DevilInstance,魔王,chapter5,,1700,120,120,0.4,3,0.25,50,0,500000,0.35,500000*(1+0.75*(max(1,players)-1))
BOSS,MoonInstance,阿尔忒弥斯,chapter5,,2000,130,130,0.4,3,0.25,55,0,2000000,0.3,2000000*(1+0.75*(max(1,players)-1))
BOSS,PurpleIronInstance,紫水晶巨蟹,chapter5,,1000,120,120,0.35,3,0.2,25,0,150000,0.3,150000*(1+0.75*(max(1,players)-1))
BOSS,MushroomInstance,菌菇灵统领,chapter7,,3750,340,340,0.4,3,0.55,160,25,50000000,0.45,
BOSS,WardenInstance,坚守者,chapter7,,6500,600,600,0.4,3,0.6,300,25,30000000,0.35,30000000*(1+0.75*(max(1,players)-1))
BOSS,MoontainBoss1Instance,望山武士,moontain,,2800,240,240,0.4,3,0.4,70,0,7500000,0.45,7500000*(1+0.75*(max(1,players)-1))
BOSS,MoontainBoss2Instance,望山骑士,moontain,,3200,300,300,0.4,3,0.5,125,0,15000000,0.45,15000000*(1+0.75*(max(1,players)-1))
BOSS,MoontainBoss3Instance,望山武魂,moontain,,3800,360,360,0.4,3,0.6,175,0,25000000,0.45,25000000*(1+0.75*(max(1,players)-1))
# ===== DIVINE (Lv 275-300) =====
NORMAL,DivineSentrySpawnController,圣光边防军,divine,275,9000,600,600,0.4,3,0.6,400,25,30000000,0.4,
NORMAL,DivineGolemSpawnController,圣光傀儡,divine,280,10000,650,650,0.4,3,0.6,450,25,35000000,0.4,
NORMAL,GhastlyCreeperSpawnController,瑕光魔物,divine,285,11000,700,700,0.4,3,0.6,500,25,40000000,0.6,
NORMAL,GhastlyHuskSpawnController,瑕光尸壳,divine,290,12000,750,750,0.4,3,0.6,550,25,50000000,0.4,
NORMAL,DivineJungleMob0SpawnController,圣光男爵,divine,295,20000,1000,1000,0.4,3,0.6,700,25,1000000000,0.45,
NORMAL,DivineJungleMob1SpawnController,圣光子爵,divine,300,24000,1100,1100,0.4,3,0.6,750,25,1500000000,0.45,
BOSS,DivineBunnyInstance,圣光班尼,divine,285,15000,800,800,0.4,3,0.6,600,25,500000000,0.3,500000000*(1+0.75*(max(1,players)-1))
BOSS,DivineBalanceInstance,均衡圣光之子,divine,300,24000,1100,1100,0.4,3,0.6,750,25,2000000000,0.45,2000000000*(1+0.75*(max(1,players)-1))
